Index,Total input cap,Input's bandwidth,SNR,Power consumption,Sampling frequency,ENOB,FOM
1.0,9.98189551848494e-12,70284288.0,87.07286834716797,0.0006011176737956703,24991194.0,10.991569519042969,1.1813548186564993e-14
2.0,8.55955931133856e-12,228639744.0,87.3663101196289,0.0006209495477378368,45936600.0,10.992117881774902,6.63651796481402e-15
3.0,9.286713759104614e-12,214771712.0,89.25081634521484,0.0006210851715877652,37355644.0,10.994881629943848,8.147150827781703e-15
4.0,3.5869050785120038e-12,366494720.0,86.75244140625,0.0006333074998110533,37612452.0,10.990928649902344,8.273395159339326e-15
5.0,9.123626333595869e-12,99976192.0,88.85318756103516,0.0006195540190674365,28445412.0,10.994393348693848,1.0676397984546622e-14
6.0,6.711636454936887e-12,54541312.0,86.55949401855469,0.0005991191719658673,21798266.0,10.990519523620605,1.3508752493354703e-14
7.0,8.791823172260571e-12,216404992.0,88.4765396118164,0.0006294550839811563,38778672.0,10.993887901306152,7.959427150846469e-15
8.0,1.010410505264403e-11,81942528.0,90.2433853149414,0.000674595998134464,20971700.0,10.995924949645996,1.575095543088819e-14
9.0,8.453697811217076e-12,55485440.0,89.68248748779297,0.0006485445192083716,20538012.0,10.995365142822266,1.5468446226056358e-14
10.0,8.993615747965311e-12,69944320.0,89.6752700805664,0.0006500607123598456,23281754.0,10.995357513427734,1.3677471292052393e-14
